
2024/10/25 (23:39:13) | ===> btop++ v.1.4.0
2024/10/25 (23:39:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/25 (23:39:13) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/25 (23:39:20) | ===> btop++ v.1.4.0
2024/10/25 (23:39:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/25 (23:39:20) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/25 (23:45:37) | ===> btop++ v.1.4.0
2024/10/25 (23:45:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/25 (23:45:37) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/26 (01:29:13) | ===> btop++ v.1.4.0
2024/10/26 (01:29:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/26 (01:29:13) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/26 (01:29:29) | ===> btop++ v.1.4.0
2024/10/26 (01:29:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/26 (01:29:29) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/26 (01:50:16) | ===> btop++ v.1.4.0
2024/10/26 (01:50:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/26 (01:50:16) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/26 (01:50:17) | ===> btop++ v.1.4.0
2024/10/26 (01:50:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/26 (01:50:17) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/26 (02:09:35) | ===> btop++ v.1.4.0
2024/10/26 (02:09:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/26 (02:09:35) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/26 (02:33:13) | ===> btop++ v.1.4.0
2024/10/26 (02:33:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/26 (02:33:13) | WARNING: ROCm SMI: Failed to get PCIe throughput

